,SEQ,ADM_CD,SLOPE_L,SLOPE_H,SLOPE_AVG,HIGH,PUMP_RATIO,Impervious_Surface,MANHOLES_RATIO,FLUD_DPWT,FLOOD,Hourly_Rainfall,Hourly_Rainfall_Weight,Impervious_Surface_Weight,F_WEIGHT,SLOPE_AVG_Weight,HIGH_Weight
27,91030,2647000000,0.0,2,1.0,3.43,4.11522633744856e-07,62.32,0.01638683127572017,0.25,1,5.0,0.05,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.0017231851293644813
28,91030,2647000000,0.0,2,1.0,3.43,4.11522633744856e-07,62.32,0.01638683127572017,0.5,1,6.0,0.36,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.0017231851293644813
29,91030,2647000000,0.0,2,1.0,3.43,4.11522633744856e-07,62.32,0.01638683127572017,0.75,1,19.5,1.3650000000000002,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.0017231851293644813
30,91030,2647000000,0.0,2,1.0,3.43,4.11522633744856e-07,62.32,0.01638683127572017,1.0,1,84.5,88.72500000000001,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.0017231851293644813
31,90519,2647000000,2.0,7,4.5,6.3,4.11522633744856e-07,62.32,0.01638683127572017,0.0,0,0.0,0.0,0.4673415823022121,0.07501875468867217,0.1079913606911447,0.003165033911077618
32,90519,2647000000,2.0,7,4.5,6.3,4.11522633744856e-07,62.32,0.01638683127572017,0.155,0,6.5,0.39,0.4673415823022121,0.07501875468867217,0.1079913606911447,0.003165033911077618
33,90519,2647000000,2.0,7,4.5,6.3,4.11522633744856e-07,62.32,0.01638683127572017,0.31,1,16.5,1.155,0.4673415823022121,0.07501875468867217,0.1079913606911447,0.003165033911077618
34,90519,2647000000,2.0,7,4.5,6.3,4.11522633744856e-07,62.32,0.01638683127572017,0.465,1,53.0,55.650000000000006,0.4673415823022121,0.07501875468867217,0.1079913606911447,0.003165033911077618
35,90520,2647000000,0.0,2,1.0,6.41,4.11522633744856e-07,62.32,0.01638683127572017,0.0,0,0.0,0.0,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.0032202964079377037
36,90520,2647000000,0.0,2,1.0,6.41,4.11522633744856e-07,62.32,0.01638683127572017,0.2926666666666667,1,6.5,0.39,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.0032202964079377037
37,90520,2647000000,0.0,2,1.0,6.41,4.11522633744856e-07,62.32,0.01638683127572017,0.5853333333333334,1,16.5,1.155,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.0032202964079377037
38,90520,2647000000,0.0,2,1.0,6.41,4.11522633744856e-07,62.32,0.01638683127572017,0.878,1,53.0,55.650000000000006,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.0032202964079377037
39,90521,2647000000,0.0,2,1.0,3.43,4.11522633744856e-07,62.32,0.01638683127572017,0.0,0,0.0,0.0,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.0017231851293644813
40,90521,2647000000,0.0,2,1.0,3.43,4.11522633744856e-07,62.32,0.01638683127572017,0.1176666666666667,0,6.2,0.372,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.0017231851293644813
41,90521,2647000000,0.0,2,1.0,3.43,4.11522633744856e-07,62.32,0.01638683127572017,0.2353333333333333,1,16.5,1.155,0.4673415823022121,0.07501875468867217,0.023998080153587713,0.0017231851293644813
